,,,,Content_Type,Sentiment,,Datetime,Time,Interval,,
,,,,audio,negative,,9:06:00 PM,9:06:00 PM,Evening,Time,Interval
The top 5 Categories,,,,audio,negative,,9:06:00 PM,9:06:00 PM,Evening,0:00,Late Night
Category,Score_Sum,,,audio,negative,,2:48:00 AM,2:48:00 AM,Late Night,6:00,Morning
animals,74965,,,audio,negative,,12:55:00 AM,12:55:00 AM,Late Night,11:00,Afternoon
science,71168,,,audio,negative,,2:55:00 PM,2:55:00 PM,Afternoon,17:00,Evening
healthy eating,69339,,,audio,negative,,4:37:00 PM,4:37:00 PM,Afternoon,22:00,Night
technology,68738,,,audio,negative,,9:25:00 PM,9:25:00 PM,Evening,,
food,66676,,,audio,negative,,12:34:00 AM,12:34:00 AM,Late Night,,
,,,,audio,negative,,7:30:00 AM,7:30:00 AM,Morning,,
,,,,audio,negative,,7:16:00 PM,7:16:00 PM,Evening,,
,,,,audio,negative,,2:29:00 PM,2:29:00 PM,Afternoon,,
,,,,audio,negative,,7:33:00 PM,7:33:00 PM,Evening,,
,,,,audio,negative,,12:21:00 PM,12:21:00 PM,Afternoon,,
,,,,audio,negative,,8:02:00 PM,8:02:00 PM,Evening,,
,,,,audio,negative,,2:57:00 PM,2:57:00 PM,Afternoon,,
,,,,audio,negative,,12:23:00 PM,12:23:00 PM,Afternoon,,
,,,,audio,negative,,11:41:00 AM,11:41:00 AM,Afternoon,,
,,,,audio,negative,,8:49:00 AM,8:49:00 AM,Morning,,
,,,,audio,negative,,7:01:00 PM,7:01:00 PM,Evening,,
,,,,audio,negative,,4:53:00 AM,4:53:00 AM,Late Night,,
,,,,audio,negative,,11:12:00 PM,11:12:00 PM,Night,,
,,,,audio,negative,,11:34:00 AM,11:34:00 AM,Afternoon,,
,,,,audio,negative,,8:37:00 PM,8:37:00 PM,Evening,,
,,,,audio,negative,,6:10:00 AM,6:10:00 AM,Morning,,
,,,,audio,negative,,3:41:00 PM,3:41:00 PM,Afternoon,,
,,,,audio,negative,,9:09:00 AM,9:09:00 AM,Morning,,
,,,,audio,negative,,6:12:00 AM,6:12:00 AM,Morning,,
,,,,audio,negative,,3:26:00 AM,3:26:00 AM,Late Night,,
,,,,audio,negative,,10:18:00 PM,10:18:00 PM,Night,,
,,,,audio,negative,,3:45:00 AM,3:45:00 AM,Late Night,,
,,,,audio,negative,,7:35:00 AM,7:35:00 AM,Morning,,
,,,,audio,negative,,3:01:00 AM,3:01:00 AM,Late Night,,
,,,,audio,negative,,3:10:00 AM,3:10:00 AM,Late Night,,
,,,,audio,negative,,11:08:00 PM,11:08:00 PM,Night,,
,,,,audio,negative,,8:21:00 AM,8:21:00 AM,Morning,,
,,,,audio,negative,,8:49:00 PM,8:49:00 PM,Evening,,
,,,,audio,negative,,8:21:00 AM,8:21:00 AM,Morning,,
,,,,audio,negative,,12:23:00 AM,12:23:00 AM,Late Night,,
,,,,audio,negative,,4:58:00 AM,4:58:00 AM,Late Night,,
,,,,audio,negative,,12:33:00 AM,12:33:00 AM,Late Night,,
,,,,audio,negative,,10:33:00 PM,10:33:00 PM,Night,,
,,,,audio,negative,,12:08:00 AM,12:08:00 AM,Late Night,,
,,,,audio,negative,,2:57:00 PM,2:57:00 PM,Afternoon,,
,,,,audio,negative,,10:13:00 AM,10:13:00 AM,Morning,,
,,,,audio,negative,,9:27:00 PM,9:27:00 PM,Evening,,
,,,,audio,negative,,12:53:00 PM,12:53:00 PM,Afternoon,,
,,,,audio,negative,,8:56:00 AM,8:56:00 AM,Morning,,
,,,,audio,negative,,3:37:00 AM,3:37:00 AM,Late Night,,
,,,,audio,negative,,7:35:00 AM,7:35:00 AM,Morning,,
,,,,audio,negative,,6:49:00 AM,6:49:00 AM,Morning,,
,,,,audio,negative,,4:38:00 AM,4:38:00 AM,Late Night,,
,,,,audio,negative,,4:45:00 AM,4:45:00 AM,Late Night,,
,,,,audio,negative,,1:56:00 AM,1:56:00 AM,Late Night,,
,,,,audio,negative,,11:34:00 AM,11:34:00 AM,Afternoon,,
,,,,audio,negative,,4:27:00 AM,4:27:00 AM,Late Night,,
,,,,audio,negative,,5:13:00 AM,5:13:00 AM,Late Night,,
,,,,audio,negative,,6:28:00 AM,6:28:00 AM,Morning,,
,,,,audio,negative,,6:51:00 PM,6:51:00 PM,Evening,,
,,,,audio,negative,,11:48:00 PM,11:48:00 PM,Night,,
,,,,audio,negative,,4:00:00 PM,4:00:00 PM,Afternoon,,
,,,,audio,negative,,8:32:00 PM,8:32:00 PM,Evening,,
,,,,audio,negative,,10:50:00 AM,10:50:00 AM,Morning,,
,,,,audio,negative,,4:40:00 AM,4:40:00 AM,Late Night,,
,,,,audio,negative,,10:15:00 AM,10:15:00 AM,Morning,,
,,,,audio,negative,,7:09:00 PM,7:09:00 PM,Evening,,
,,,,audio,negative,,6:19:00 AM,6:19:00 AM,Morning,,
,,,,audio,negative,,11:20:00 PM,11:20:00 PM,Night,,
,,,,audio,negative,,12:42:00 PM,12:42:00 PM,Afternoon,,
,,,,audio,negative,,1:10:00 PM,1:10:00 PM,Afternoon,,
,,,,audio,negative,,7:04:00 PM,7:04:00 PM,Evening,,
,,,,audio,negative,,9:53:00 AM,9:53:00 AM,Morning,,
,,,,audio,negative,,10:00:00 AM,10:00:00 AM,Morning,,
,,,,audio,negative,,4:54:00 AM,4:54:00 AM,Late Night,,
,,,,audio,negative,,3:42:00 PM,3:42:00 PM,Afternoon,,
,,,,audio,negative,,2:36:00 AM,2:36:00 AM,Late Night,,
,,,,audio,negative,,4:24:00 PM,4:24:00 PM,Afternoon,,
,,,,audio,negative,,12:44:00 PM,12:44:00 PM,Afternoon,,
,,,,audio,negative,,7:09:00 PM,7:09:00 PM,Evening,,
,,,,audio,negative,,2:00:00 AM,2:00:00 AM,Late Night,,
,,,,audio,negative,,7:58:00 AM,7:58:00 AM,Morning,,
,,,,audio,negative,,6:29:00 PM,6:29:00 PM,Evening,,
,,,,audio,positive,,3:30:00 AM,3:30:00 AM,Late Night,,
,,,,audio,positive,,11:23:00 AM,11:23:00 AM,Afternoon,,
,,,,audio,negative,,5:30:00 PM,5:30:00 PM,Evening,,
,,,,audio,neutral,,3:42:00 AM,3:42:00 AM,Late Night,,
,,,,audio,positive,,6:54:00 AM,6:54:00 AM,Morning,,
,,,,audio,positive,,2:19:00 PM,2:19:00 PM,Afternoon,,
,,,,audio,negative,,5:17:00 PM,5:17:00 PM,Evening,,
,,,,audio,neutral,,10:35:00 AM,10:35:00 AM,Morning,,
,,,,audio,negative,,2:56:00 PM,2:56:00 PM,Afternoon,,
,,,,audio,negative,,9:52:00 PM,9:52:00 PM,Evening,,
,,,,audio,negative,,2:07:00 AM,2:07:00 AM,Late Night,,
,,,,audio,positive,,8:48:00 AM,8:48:00 AM,Morning,,
,,,,audio,neutral,,8:01:00 PM,8:01:00 PM,Evening,,
,,,,audio,positive,,11:45:00 AM,11:45:00 AM,Afternoon,,
,,,,audio,negative,,8:40:00 AM,8:40:00 AM,Morning,,
,,,,audio,negative,,1:59:00 AM,1:59:00 AM,Late Night,,
,,,,audio,positive,,8:56:00 PM,8:56:00 PM,Evening,,
,,,,audio,negative,,8:41:00 AM,8:41:00 AM,Morning,,
,,,,audio,neutral,,6:10:00 AM,6:10:00 AM,Morning,,
,,,,audio,negative,,4:21:00 AM,4:21:00 AM,Late Night,,
,,,,audio,negative,,7:48:00 AM,7:48:00 AM,Morning,,
,,,,audio,positive,,3:57:00 PM,3:57:00 PM,Afternoon,,
,,,,audio,negative,,8:05:00 PM,8:05:00 PM,Evening,,
,,,,audio,positive,,11:59:00 PM,11:59:00 PM,Night,,
,,,,audio,positive,,9:23:00 PM,9:23:00 PM,Evening,,
,,,,audio,positive,,12:46:00 AM,12:46:00 AM,Late Night,,
,,,,audio,positive,,2:24:00 PM,2:24:00 PM,Afternoon,,
,,,,audio,positive,,12:19:00 AM,12:19:00 AM,Late Night,,
,,,,audio,negative,,11:09:00 PM,11:09:00 PM,Night,,
,,,,audio,negative,,11:31:00 PM,11:31:00 PM,Night,,
,,,,audio,positive,,9:12:00 PM,9:12:00 PM,Evening,,
,,,,audio,negative,,8:31:00 PM,8:31:00 PM,Evening,,
,,,,audio,negative,,5:00:00 AM,5:00:00 AM,Late Night,,
,,,,audio,negative,,10:48:00 AM,10:48:00 AM,Morning,,
,,,,audio,negative,,3:59:00 PM,3:59:00 PM,Afternoon,,
,,,,audio,negative,,2:19:00 AM,2:19:00 AM,Late Night,,
,,,,audio,negative,,3:11:00 AM,3:11:00 AM,Late Night,,
,,,,audio,neutral,,4:15:00 PM,4:15:00 PM,Afternoon,,
,,,,audio,positive,,7:06:00 AM,7:06:00 AM,Morning,,
,,,,audio,negative,,5:09:00 PM,5:09:00 PM,Evening,,
,,,,audio,positive,,11:48:00 AM,11:48:00 AM,Afternoon,,
,,,,audio,neutral,,8:14:00 PM,8:14:00 PM,Evening,,
,,,,audio,neutral,,11:45:00 PM,11:45:00 PM,Night,,
,,,,audio,positive,,12:19:00 AM,12:19:00 AM,Late Night,,
,,,,audio,negative,,7:57:00 AM,7:57:00 AM,Morning,,
,,,,audio,neutral,,10:28:00 AM,10:28:00 AM,Morning,,
,,,,audio,negative,,7:11:00 PM,7:11:00 PM,Evening,,
